id,english_expression,key_expression,korean_translation,category,source
85,It's getting late. Time to call it a day.,Time to call it a day,늦었다. 이제 끝낼 시간이야.,Daily Life,miracle
86,I really should pay more attention next time.,should pay more attention,다음엔 좀 더 신경 써야겠어.,Daily Life,miracle
87,Not to worry. I'll handle it.,Not to worry,걱정 마. 내가 처리할게.,Daily Life,miracle
88,Let's go for a drive this Sunday.,Let's go for a drive,이번 일요일에 드라이브 가자.,Daily Life,miracle
89,"If you don't use it, just throw it away.",just throw it away,안 쓰면 그냥 버려.,Daily Life,miracle
90,"Oh great, here we go again.",here we go again,"아 이런, 또 시작이야.",Daily Life,miracle
91,It's over. Just let it go.,let it go,끝났잖아. 그냥 신경 꺼.,Daily Life,miracle
92,Free pizza? Now you're talking!,Now you're talking,공짜 피자? 바로 그거야!,Daily Life,miracle
93,"Wow, you're all dressed up today!",you're all dressed up,"와, 오늘 쫙 빼입었네!",Daily Life,miracle
94,Fine. Suit yourself.,Suit yourself,알아서 해.,Daily Life,miracle
95,It's Friday night. Let's get wasted!,Let's get wasted,금요일 밤이잖아. 실컷 마시자!,Daily Life,miracle
96,Relax. It's no big deal.,It's no big deal,진정해. 별일 아니야.,Daily Life,miracle
97,I like it. What's wrong with it?,What's wrong with it?,나는 좋은데. 뭐 어때서?,Daily Life,miracle
98,I stayed up all night finishing the report.,I stayed up all night,보고서 끝내느라 밤을 꼬박 새웠어.,Meetings,miracle
99,We're in a restaurant. Watch your language.,Watch your language,식당이잖아. 말조심해.,Social,miracle
100,Don't even think about giving up.,Don't even think about,포기할 생각은 꿈도 꾸지 마.,Daily Life,miracle
101,My feet are killing me after all that walking.,killing me,그렇게 걷고 나니 발이 아파 죽겠어.,Daily Life,miracle
102,"No promises, but I'll see what I can do.",I'll see what I can do,장담은 못 하지만 알아볼게요.,Daily Life,miracle
103,We've been waiting forever. What took you so long?,What took you so long?,엄청 기다렸잖아. 왜 이렇게 늦었어?,Daily Life,miracle
104,"Hey, anything good happen today?",anything good happen,"야, 오늘 무슨 좋은 일 있어?",Daily Life,miracle
105,The deadline is coming up fast.,coming up,마감이 빠르게 다가오고 있어.,Meetings,miracle
106,Can you let me out over there?,let me out over there,저기서 내려줄 수 있어?,Daily Life,miracle
107,She was really upset when she found out.,She was really upset,알게 됐을 때 그녀가 많이 화났어.,Emotions & Opinions,miracle
108,Every single time. You're all talk.,You're all talk,맨날 그래. 넌 늘 말뿐이야.,Daily Life,miracle
109,I can go along with that plan.,go along with that,그 계획에 동의할 수 있어.,Daily Life,miracle
110,I'm so sick of commuting every day.,I'm so sick of,매일 출퇴근하는 게 정말 질렸어.,Daily Life,miracle
111,Oh hey! What brings you here today?,What brings you here,오 안녕! 오늘 여긴 어쩐 일이야?,Daily Life,miracle
112,How did the job interview go?,How did the job interview go,취업 면접 어떻게 됐어?,Daily Life,miracle
113,Cooking's not really my thing.,not really my thing,요리는 내 적성이 아니야.,Daily Life,miracle
114,I can't take this noise anymore.,can't take this noise anymore,이 소음은 더 이상 못 참겠어.,Daily Life,miracle
115,Turn on the heat. I'm freezing to death.,I'm freezing to death,히터 틀어. 추워 죽겠어.,Daily Life,miracle
116,Hold on. Let me check.,Hold on,잠깐만. 확인해볼게.,Daily Life,miracle
117,Stop whining and act your age!,act your age!,투정 그만하고 나잇값 좀 해!,Daily Life,miracle
118,"You two, knock it off right now!",knock it off,"너네 둘, 지금 당장 그만 해!",Daily Life,miracle
119,That excuse sounds fake. I don't buy it.,I don't buy it,그 변명 거짓말 같아. 믿을 수 없어.,Daily Life,miracle
120,"I'm not picky about food, so anywhere is fine.",I'm not picky about food,뭐든 잘 먹으니까 어디든 괜찮아.,Daily Life,miracle
121,"Sorry, she has already gone for the day.",has already gone for the day,"죄송한데요, 그녀는 이미 퇴근했어요.",Daily Life,miracle
122,Try to make it on time this time.,make it on time,이번엔 제시간에 와.,Daily Life,miracle
123,He always goes by the book.,goes by the book,그는 항상 원칙대로 해.,Daily Life,miracle
124,You look stressed. What's bothering you?,What's bothering you?,스트레스 받아 보여. 무슨 고민 있어?,Daily Life,miracle
125,"It sounds fun, but I think I'll pass.",I think I'll pass,재밌겠지만 저는 사양할게요.,Daily Life,miracle
126,I'm between jobs right now but actively looking.,I'm between jobs,지금 구직 중이지만 열심히 찾고 있어.,Daily Life,miracle
127,Keep going. You're on the right track.,You're on the right track,계속해. 넌 잘하고 있어.,Daily Life,miracle
128,This milk tastes funny. Is it expired?,tastes funny,이 우유 맛이 이상해. 유통기한 지났나?,Daily Life,miracle
129,I'll be right back. Save my seat!,Save my seat,금방 올게. 자리 잡아 놔!,Daily Life,miracle
130,This café is totally worth visiting.,worth visiting,이 카페 정말 가볼 만해.,Daily Life,miracle
131,"After all that, the game ended in a tie.",the game ended in a tie,그러고 나서 결국 무승부로 끝났어.,Daily Life,miracle
132,It's almost over. Hang in there.,Hang in there,거의 다 됐어. 조금만 참아.,Daily Life,miracle
133,I ran into my old coworker at the gym.,ran into,헬스장에서 옛날 직장동료를 우연히 만났어.,Daily Life,miracle
134,That's awful. Sorry to hear that.,Sorry to hear that,최악이다. 안됐구나.,Daily Life,miracle
135,"Hey, you have a minute? I need your help.",you have a minute?,"야, 시간 좀 있어? 도움이 필요해.",Daily Life,miracle
136,"We're friends, let's just split the bill.",let's just split the bill,"우리 친구잖아, 그냥 나눠서 내자.",Social,miracle
137,Don't mind me. I'm not much of a talker.,I'm not much of a talker,나 신경 쓰지 마. 말주변이 없어서.,Daily Life,miracle
138,"Trust me, you don't wanna do that.",you don't wanna do that,"나 믿어, 안 하는 게 좋아.",Daily Life,miracle
139,He had too much and totally blacked out.,He had too much and totally blacked out,너무 많이 마셔서 필름이 완전히 끊겼어.,Daily Life,miracle
140,"Before we eat, let's make a toast!",let's make a toast,먹기 전에 건배하자!,Social,miracle
141,It's a tough situation but hope it works out.,hope it works out,힘든 상황이지만 잘 되길 바라.,Daily Life,miracle
142,"After all that work, have you made a profit?",have you made a profit?,그 고생 끝에 수익 좀 냈어?,Daily Life,miracle
143,She suddenly collapsed and was taken to the ER.,She suddenly collapsed and was taken to the ER,갑자기 쓰러져서 응급실에 실려 갔어.,Daily Life,miracle
144,We just opened. Please spread the word!,Please spread the word,막 오픈했어. 입소문 좀 내 줘!,Daily Life,miracle
145,"I appreciate it, but it's too much for me.",it's too much for me,고맙긴 한데 나한테는 너무 어려워.,Daily Life,miracle
146,Look at them. They're made for each other.,They're made for each other,저 둘 봐봐. 완전 천생연분이야.,Daily Life,miracle
147,The lighting was bad so I didn't come out great.,didn't come out great,조명이 안 좋아서 사진이 잘 안 나왔어.,Daily Life,miracle
148,That's a big decision. Let me sleep on it.,Let me sleep on it,큰 결정이네. 다시 생각해 볼게.,Daily Life,miracle
149,I don't have much time. Just get to the point.,Just get to the point,시간이 많지 않아. 본론만 얘기해.,Daily Life,miracle
150,I forgot my umbrella and now it's pouring.,it's pouring,우산을 두고 왔는데 비가 억수같이 와.,Daily Life,miracle
151,It's nice outside. Let's take a walk.,Let's take a walk,밖에 날씨 좋다. 산책 좀 하자.,Daily Life,miracle
152,I had no idea about that. Thanks for the tip!,Thanks for the tip,몰랐어. 알려줘서 고마워!,Daily Life,miracle
153,We're in a library. Keep your voice down.,Keep your voice down,지금 도서관이야. 목소리 낮춰.,Daily Life,miracle
154,I came home late and got a lecture from my mom.,got a lecture,늦게 들어왔다가 엄마한테 야단맞았어.,Daily Life,miracle
155,"Fill her up, please. And check the tire pressure.","Fill her up, please",가득이요. 타이어 공기압도 확인해주세요.,Daily Life,miracle
156,I don't have cash on me. Can I put it on my account?,put it on my account,현금이 없어요. 외상으로 할 수 있나요?,Social,miracle
157,I need to catch an early flight. Give me a wake-up call at 5 AM.,Give me a wake-up call,일찍 비행기를 타야 해서요. 새벽 5시에 모닝콜 해 주세요.,Daily Life,miracle
158,I've had a bad cough for over a week now.,had a bad cough,일주일 넘게 기침이 심해요.,Daily Life,miracle
159,Is there anything else? Will that be all?,Will that be all?,더 필요한 건 없으세요? 그게 전부이신가요?,Daily Life,miracle
160,I'll pay for dinner. What do you say?,What do you say?,내가 저녁 살게. 어때?,Social,miracle
161,This doesn't fit. Can I get a refund?,Can I get a refund?,사이즈가 안 맞는데 환불 되나요?,Daily Life,miracle
162,Just leave it alone. Don't ask for trouble.,Don't ask for trouble,그냥 내버려 둬. 괜한 짓 하지 마.,Daily Life,miracle
163,I heard about your grandmother. I'm sorry for your loss.,I'm sorry for your loss,할머니 소식 들었어. 애도를 표합니다.,Daily Life,miracle
164,Let's face it. This plan isn't working.,Let's face it,현실을 직시하자. 이 계획은 안 되고 있어.,Daily Life,miracle
165,I should have applied earlier. I really missed the boat.,missed the boat,더 일찍 지원했어야 했는데. 정말 기회를 놓쳤어.,Daily Life,miracle
166,It's just a roller coaster. Don't be a chicken!,Don't be a chicken!,그냥 롤러코스터잖아. 겁먹지 마!,Daily Life,miracle
167,What do you like about working from home?,What do you like about,재택근무에서 뭐가 좋아?,Daily Life,miracle
168,I'll come to you. Don't go out of your way.,Don't go out of your way,내가 갈게. 일부러 수고하지 않아도 돼.,Daily Life,miracle
169,I deleted the shopping app. No more impulse buying!,No more impulse buying!,쇼핑 앱 지웠어. 이제 충동구매는 그만!,Daily Life,miracle
170,You eat like a bird. Are you on a diet?,You eat like a bird,왜 그렇게 조금만 먹어? 다이어트 중이야?,Daily Life,miracle
171,I ate too much at the party. I'm feeling really bloated.,I'm feeling really bloated,파티에서 너무 많이 먹었어. 배가 너무 더부룩해.,Social,miracle
172,Everyone says she looks younger than her age.,looks younger than her age,다들 그녀가 나이보다 어려 보인다고 해.,Daily Life,miracle
173,Don't worry. This bus runs every 10 minutes.,runs every 10 minutes,걱정 마. 이 버스는 10분마다 와.,Daily Life,miracle
174,A free trip to Paris? It sounds too good to be true.,too good to be true,파리 무료 여행? 사실이라기엔 너무 좋은데.,Daily Life,miracle
175,I skipped lunch and now my stomach is growling.,my stomach is growling,점심을 건너뛰었더니 배에서 꼬르륵 소리가 나.,Social,miracle
176,I have good vibes about this interview.,have good vibes about this,이번 면접은 좋은 느낌이 와.,Daily Life,miracle
177,Do I need to change trains at the next stop?,Do I need to change trains,다음 역에서 갈아타야 해?,Daily Life,miracle
178,Your wedding? I wouldn't miss it for the world.,I wouldn't miss it for the world,네 결혼식? 절대로 빠지지 않을 거야.,Social,miracle
179,Lucky me. I have the day off tomorrow.,I have the day off,나도 다행히 내일 쉬는 날이야.,Daily Life,miracle
180,I can't stream anything here. Wi-Fi is not available.,Wi-Fi is not available,여기서는 아무것도 스트리밍이 안 돼. 와이파이가 안 돼.,Daily Life,miracle
181,He canceled without notice. He doesn't think much of others.,think much of others,아무 말 없이 취소했어. 남들 생각은 별로 안 하더라.,Daily Life,miracle
182,Turn around. I think we took the wrong way.,we took the wrong way,돌아가. 우리 길을 잘못 든 것 같아.,Daily Life,miracle
183,You look great. Can't you just stop dieting?,Can't you just stop dieting?,너 충분히 예쁜데. 그냥 다이어트 그만하면 안 돼?,Daily Life,miracle
184,Take an umbrella. It's been raining on and off all day.,It's been raining on and off,우산 챙겨. 하루 종일 비가 왔다 그쳤다 해.,Daily Life,miracle
185,We tried dating but there was just no chemistry between us.,there was just no chemistry between us,사귀어보려 했는데 그냥 우리 사이에 케미가 없었어.,Daily Life,miracle
186,It's 9 o'clock. Haven't you had dinner yet?,Haven't you had dinner yet?,9시잖아. 아직 저녁 안 먹었어?,Social,miracle
187,I've searched high and low but can't find my passport.,I've searched high and low,샅샅이 다 찾아봤는데 여권을 못 찾겠어.,Daily Life,miracle
188,Of course I'll help you move. What are friends for?,What are friends for?,당연히 이사 도와줘야지. 친구 좋다는 게 뭐야?,Daily Life,miracle
189,This restaurant is delicious and easy on the wallet.,easy on the wallet,이 식당은 맛있고 지갑에 부담도 없어.,Social,miracle
190,Cold lemonade on a hot day really hits the spot.,hits the spot,더운 날 차가운 레모네이드는 딱 제대로야.,Daily Life,miracle
191,Rent went up again. I may have to take a part-time job.,I may have to take a part-time job,월세가 또 올랐어. 알바를 해야 할 것 같아.,Daily Life,miracle
192,Strawberries are expensive right now because they're out of season.,they're out of season,딸기가 요즘 비싼 건 제철이 아니라서야.,Daily Life,miracle
193,I had my car fixed but it's acting up again.,I had my car fixed,차를 수리했는데 또 말썽이야.,Daily Life,miracle
194,My little sister has a serious sweet tooth.,has a serious sweet tooth,내 여동생은 단 걸 정말 너무 좋아해.,Daily Life,miracle
195,I can't have a cat. I'm allergic to animal fur.,I'm allergic to animal fur,고양이를 키울 수가 없어. 동물 털 알레르기가 있어서.,Daily Life,miracle
196,She posted one video and it went viral overnight.,it went viral,영상 하나 올렸는데 하룻밤 사이에 엄청 퍼졌어.,Daily Life,miracle
197,It's terribly hot outside. Let's stay in.,It's terribly hot,밖이 너무 더워. 그냥 집에 있자.,Daily Life,miracle
198,Can I ask you a favor? I need a ride to the airport.,Can I ask you a favor?,부탁 하나 해도 돼? 공항까지 태워줄 수 있어?,Daily Life,miracle
199,I haven't hit the gym in ages. I need to get back on track.,I haven't hit the gym in ages,헬스장에 오랫동안 못 갔어. 다시 시작해야겠어.,Daily Life,miracle
200,You've rested enough. You should get back to normal.,You should get back to normal,충분히 쉬었잖아. 이제 일상으로 돌아가야 해.,Daily Life,miracle
201,That smells amazing. Can I have a bite?,Can I have a bite?,냄새 진짜 좋다. 한 입만 먹어봐도 돼?,Daily Life,miracle
202,Wait here. I'll be back in a flash.,I'll be back in a flash,여기서 기다려. 금방 돌아올게.,Daily Life,miracle
203,I'm thinking of watching that new drama. Did it get good reviews?,Did it get good reviews?,그 새 드라마 보려고 하는데. 리뷰 좋았어?,Daily Life,miracle
204,My dad and I are both tone-deaf. It runs in my family.,It runs in my family,아빠랑 나 둘 다 음치야. 우리 가족 내력이야.,Daily Life,miracle
205,You guys keep going. I don't wanna spoil the fun.,I don't wanna spoil the fun,너네 계속해. 나는 분위기 망치기 싫어.,Daily Life,miracle
206,Sorry I missed your call. I had my phone on silent.,phone on silent,전화 못 받아서 미안. 폰을 무음으로 해놨었어.,Email & Phone,miracle
207,Don't worry about the damage. It can be covered by insurance.,It can be covered by insurance,손상된 거 걱정 마. 보험으로 처리할 수 있어.,Daily Life,miracle
208,What a week. I could really use a drink right now.,could really use a drink,진짜 힘든 한 주였어. 지금 당장 술 한잔 마시고 싶다.,Daily Life,miracle
209,Any plans for the weekend? Nothing comes to mind.,Nothing comes to mind,주말 계획 있어? 딱히 생각나는 게 없어.,Daily Life,miracle
210,"If this doesn't work out, I got a backup plan.",I got a backup plan,이게 안 되면 나 대안이 있어.,Daily Life,miracle
211,Let's come back later. It's packed with people right now.,It's packed with people,나중에 다시 오자. 지금 사람이 엄청 많아.,Daily Life,miracle
212,It's been a long day. I really feel like a beer.,I really feel like a beer,오늘 정말 긴 하루였어. 맥주가 정말 당겨.,Emotions & Opinions,miracle
213,I can't hang out tonight. I'm really behind in my work.,I'm really behind in my work,오늘 밤 놀러 못 가. 일이 너무 밀려 있어.,Social,miracle
214,I'm exhausted. The heat keeps me up at night.,The heat keeps me up at night,너무 피곤해. 더워서 밤에 잠을 못 자.,Emotions & Opinions,miracle
215,He's barely scoring lately. I guess he's in a slump.,guess he's in a slump,요즘 점수를 거의 못 내고 있어. 슬럼프인 것 같아.,Daily Life,miracle
216,Wow we're already halfway through the year. Time flies.,we're already halfway through the year,와 벌써 1년의 절반이 지났네. 시간 참 빠르다.,Daily Life,miracle
217,I'm squinting at everything. My eyesight got worse recently.,My eyesight got worse recently,모든 게 찡그려 봐야 돼. 요즘 시력이 더 나빠졌어.,Daily Life,miracle
218,I skipped breakfast and lunch. I could eat a horse.,I could eat a horse,아침도 점심도 거른 거야. 배가 엄청 고파.,Social,miracle
219,He talks so loud all the time. How do you put up with it?,How do you put up with it?,그 사람 항상 너무 시끄럽게 말하잖아. 어떻게 참아?,Daily Life,miracle
220,Don't call me anymore. We're history.,We're history,더 이상 전화하지 마. 우리 끝났어.,Daily Life,miracle
221,I used to play tennis but I haven't done it for ages.,I haven't done it for ages,테니스 치곤 했는데 정말 오랫동안 안 했어.,Daily Life,miracle
222,It bothers me that my skin breaks out every time I'm stressed.,bothers me that my skin breaks out,스트레스받을 때마다 피부 트러블이 생기는 게 신경 쓰여.,Daily Life,miracle
223,It's the classic interview question: where do you see yourself in 5 years?,where do you see yourself in 5 years,단골 면접 질문이잖아. 5년 후 어떤 모습일 것 같으세요?,Daily Life,miracle
224,Hey it's your turn. Did you walk the dog today?,Did you walk the dog,야 네 차례야. 오늘 개 산책시켰어?,Daily Life,miracle
225,I don't have all day. Just get to the point.,Just get to the point,시간이 많지 않아. 본론만 말해.,Daily Life,miracle
226,It's not perfect but don't look a gift horse in the mouth.,don't look a gift horse in the mouth,완벽하진 않지만 공짜로 받은 거에 불평하지 마.,Daily Life,miracle
227,I missed my morning meeting. I slept through the alarm.,I slept through the alarm,오전 회의에 못 갔어. 알람을 못 듣고 자버렸어.,Meetings,miracle
228,Look at these phones now. Technology has really come a long way.,Technology has really come a long way,요즘 폰들 좀 봐. 기술이 정말 많이 발전했어.,Daily Life,miracle
229,Working under him is exhausting. He picks on every little detail.,He picks on every little detail,그 밑에서 일하는 게 너무 힘들어. 사소한 것 하나하나 트집을 잡아.,Daily Life,miracle
230,They've been together for seven years and she's got the seven-year itch.,she's got the seven-year itch,걔네 7년째인데 그녀한테 권태기가 온 것 같아.,Daily Life,miracle
231,It's not much but it's better than nothing.,it's better than nothing,많은 건 아니지만 없는 것보단 낫지.,Daily Life,miracle
232,Hurry up! It's time to get on the bus.,It's time to get on the bus,빨리! 이제 버스 탈 시간이야.,Daily Life,miracle
233,He keeps interrupting the seniors. He doesn't know his place.,know his place,계속 선배들 말을 자르네. 분수를 모르는 것 같아.,Daily Life,miracle
234,You've prepared hard enough. Just go show them what you've got.,show them what you've got,충분히 준비했잖아. 가서 실력을 보여줘.,Daily Life,miracle
235,He fell fast asleep the moment his head hit the pillow.,He fell fast asleep,그는 베개에 머리를 대자마자 깊이 잠들었어.,Daily Life,miracle
236,Don't worry about them. We go way back.,We go way back,걔네 걱정 마. 우리 인연이 오래됐어.,Daily Life,miracle
237,Everything went wrong today. I'm totally having a bad hair day.,I'm totally having a bad hair day,오늘 모든 게 다 틀어졌어. 완전 재수없는 날이야.,Daily Life,miracle
238,I know it's frustrating but things don't always go your way.,things don't always go your way,답답한 거 알지만 일이 항상 뜻대로 되는 건 아니잖아.,Daily Life,miracle
